activity,x,y,z,numeric_label
A,6.1885973,8.814005949999999,10.455712799999999,13
A,3.6052715999999996,10.013321932,8.263343449999999,13
A,4.60604487,11.376721889999999,8.513900699999999,13
A,2.718173905,13.761096665,5.978486695000001,13
A,1.29915111,14.153046369999998,3.1685359,13
A,0.0013734059999999104,13.987441746,8.988729805999998,13
A,5.27639847,13.853425459999999,10.646880410000001,13
A,8.14880797,8.938986629999999,11.636289529999999,13
A,7.89055566,2.62926483,12.076203204999999,13
A,4.436952160000001,0.86044608,12.66613718,13
A,5.434397355999999,-0.3988627500000006,10.16042452,13
A,2.5079499699999994,1.6725471,5.316262029999999,13
A,-0.06322649999999985,10.640189159999998,2.3832494800000004,13
A,0.7889631299999997,4.718581421999999,1.1145990999999995,13
A,1.5677140399999998,15.377597359999996,-0.2227830500000001,13
A,3.0262294499999998,8.271999820000001,-2.657726461,13
A,11.2440579,4.7891378499999995,-1.58121153,13
A,8.642705079999999,5.48260041,-6.15061585,13
A,13.481814199999999,5.227163920000001,-4.382342899999999,13
A,20.651491890000003,0.6554424700000006,0.55491576,13
A,15.5410092473,6.06414426,-0.1375365100000001,13
A,10.257602590000001,7.7221647,0.54437441,13
A,4.092258799999999,9.3730465,1.7583370499999997,13
A,9.19567808,8.575073439999999,3.6671112040000002,13
A,7.280964399999999,11.58263292,-2.629813864,13
A,2.353687980000001,13.693500399999998,-3.6353162899999996,13
A,10.9188608,11.38784123,1.4514284,13
A,14.482210378000001,6.747870128000001,-1.744125702,13
A,13.054856280000001,5.18841403,-1.5056083,13
A,9.01108155,2.12618418,-5.36553636,13
A,17.803250830000003,3.3174821399999996,-1.7924732200000002,13
A,22.15861153,6.899164954,2.9382192799999998,13
A,15.896273104,10.973980350000001,5.474647311,13
A,7.943926399999999,19.17662668,7.877102729,13
A,7.9551986,17.59928767,-1.99691883,13
A,6.8781973999999995,7.271596585,0.1487214600000002,13
A,10.3688429,8.1243629,0.8775157900000004,13
A,4.4881501980000005,6.51300696,-4.16354559,13
A,5.055421650000001,4.505434360000001,-5.25939829,13
A,11.8458769,1.5714130800000001,-2.1775519799999996,13
A,13.807349937000001,2.8149467099999996,2.32177673,13
A,13.076768150000001,7.0331747,2.3219663600000002,13
A,11.7418987,10.97262542,3.56244427,13
A,14.33875652,11.894471620000001,3.323411568,13
A,10.66507334,13.92620118,-2.361180435,13
A,7.56286495,13.69020445,-2.90532668,13
A,9.66490026,11.818394300000001,1.6157044,13
A,14.93578357,7.774772300000001,0.37468638000000004,13
A,14.704683650000002,0.8056381600000004,0.12538524000000006,13
A,12.174505700000001,1.8452332500000002,-2.5106279039999997,13
A,19.219299820000003,5.627746050000001,-0.8962084300000002,13
A,20.633364139999998,8.553326325,1.5599445400000003,13
A,10.5967012,12.6863082,5.10288509,13
A,7.052811600000002,17.793470550000002,4.723204556,13
A,11.1827726,15.595674490000002,-3.6913068000000004,13
A,9.65561104,8.99224787,-3.4027108,13
A,7.455434469999999,8.49929485,-1.71929131,13
A,3.93687114,7.166085170000001,-2.222552436,13
A,7.4211869,3.8328557300000003,-3.6518548,13
A,10.780829774999999,1.7466361500000005,-1.20326826,13
A,14.406170338999999,5.80884603,0.9166968749999999,13
A,15.866507045999999,8.707501359999998,2.861642744,13
A,12.27772088,9.54041217,4.52506344,13
A,13.763224650000002,13.10702237,0.34688381,13
A,8.100556169999999,13.1834445,-3.3246904600000002,13
A,9.324112965000001,13.051867935,-0.1725557649999998,13
A,11.979437529999998,10.85226167,3.2219168999999996,13
A,19.19840071,4.8945311359999994,2.1907921200000002,13
A,14.692819035000001,-0.6058989049999997,-2.207242405,13
A,16.111725229999998,2.1769519699999997,-4.380416589999999,13
A,16.163549800000002,8.1598966,-3.4002107299999995,13
