activity,x,y,z,numeric_label
A,6.1885973,8.814005949999999,10.455712799999999,9
A,3.6052715999999996,10.013321932,8.263343449999999,9
A,4.60604487,11.376721889999999,8.513900699999999,9
A,2.718173905,13.761096665,5.978486695000001,9
A,1.29915111,14.153046369999998,3.1685359,9
A,0.0013734059999999104,13.987441746,8.988729805999998,9
A,5.27639847,13.853425459999999,10.646880410000001,9
A,8.14880797,8.938986629999999,11.636289529999999,9
A,7.89055566,2.62926483,12.076203204999999,9
A,4.436952160000001,0.86044608,12.66613718,9
A,5.434397355999999,-0.3988627500000006,10.16042452,9
A,2.5079499699999994,1.6725471,5.316262029999999,9
A,-0.06322649999999985,10.640189159999998,2.3832494800000004,9
A,0.7889631299999997,4.718581421999999,1.1145990999999995,9
A,1.5677140399999998,15.377597359999996,-0.2227830500000001,9
A,3.0262294499999998,8.271999820000001,-2.657726461,9
A,11.2440579,4.7891378499999995,-1.58121153,9
A,8.642705079999999,5.48260041,-6.15061585,9
A,13.481814199999999,5.227163920000001,-4.382342899999999,9
A,20.651491890000003,0.6554424700000006,0.55491576,9
A,15.5410092473,6.06414426,-0.1375365100000001,9
A,10.257602590000001,7.7221647,0.54437441,9
A,4.092258799999999,9.3730465,1.7583370499999997,9
A,9.19567808,8.575073439999999,3.6671112040000002,9
A,7.280964399999999,11.58263292,-2.629813864,9
A,2.353687980000001,13.693500399999998,-3.6353162899999996,9
A,10.9188608,11.38784123,1.4514284,9
A,14.482210378000001,6.747870128000001,-1.744125702,9
A,13.054856280000001,5.18841403,-1.5056083,9
A,9.01108155,2.12618418,-5.36553636,9
A,17.803250830000003,3.3174821399999996,-1.7924732200000002,9
A,22.15861153,6.899164954,2.9382192799999998,9
A,15.896273104,10.973980350000001,5.474647311,9
A,7.943926399999999,19.17662668,7.877102729,9
A,7.9551986,17.59928767,-1.99691883,9
A,6.8781973999999995,7.271596585,0.1487214600000002,9
A,10.3688429,8.1243629,0.8775157900000004,9
A,4.4881501980000005,6.51300696,-4.16354559,9
